,tweet_author,overall_polarity
1354120316348465160,OncLive.com,Negative
1354082212010979330,Targeted Oncology,Negative
1354081826583830530,AnalySource: Premier Drug Pricing Services,Negative
1354072853101084675,Helix BioPharma,Negative
1354067820049539074,AlphaBronze,Negative
1354066764825559042,TrialSite News,Negative
1354047704561758208,Plexus Ventures,Negative
1354031181269000192,Toby Eyre,Negative
1354021532763185152,Paperbirds_Hematology,Negative
1354006590479855617,BiopharmaAsia,Negative
1353989515992395776,1stOncology,Negative
1353986275477315585,1stOncology,Negative
1353986043012374530,Bio_Talent,Negative
1353985976792608768,1stOncology,Negative
1353985443113664512,Roberto Bonin,Negative
1353921460171984896,Taro Shiga,Negative
1353914074472583169,Susan,Positive
1353885369675223045,BioCentury,Negative
1353877818380152832,Endpoints News,Negative
1353836952085258241,Pharma Top News,Negative
1353836577642962944,OncLive.com,Negative
1353834280921800705,FiercePharma,Positive
1353830533491544064,Benlazar S.M Aminé,Negative
1353828627717124097,WebWire,Negative
1353814607492751360,Tecnomedicina,Negative
1353798006924046336,HemOnc Today,Positive
1353781577524924416,BrainSights iOS App,Negative
1353780477354594305,Dr Timos Papagatsias,Positive
1353778216037732354,NewExpressNews,Positive
1353772372914958336,BioPharma Dive,Negative
1353752005303537665,Market Intelligence: Healthcare,Positive
1353750800732971010,Ben Fidler,Negative
1353749995598475264,前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,Positive
1353749330667188224,PHARMABOX.IN,Positive
1353744822947856385,cafepharma,Negative
1353743444867481601,Calgary Herald,Negative
1353742639498190848,Endpoints News,Negative
1353736022962573312,David Ledger,Negative
1353733848777936896,Biotech & Tech Stock Focus,Negative
1353729595313332230,Dr Timos Papagatsias,Positive
1353714838787158016,Corporate News,Negative
1353711478658920448,前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,Positive
1353710232245923840,Paperbirds_Hematology,Negative
1353709022336200706,InvestorsObserver,Negative
1353704850387841024,Devdiscourse,Negative
1353700939681689600,Company News HQ,Negative
1353688716691304448,CHItraders,Positive
1353684379634196480,****,Negative
1353679151421509633,Briefing.com,Negative
1353678785124700160,Quant Data,Negative
1353676688463458309,PharmaTimes,Negative
1353676188158488577,"OTC Dynamics, Inc.",Negative
1353675874667687936,Latest News from Business Wire,Negative
1353675668102410242,IMPharma News,Negative
1353675469418192899,Crwe World,Negative
1353675411935399936,AstraZenecaUS,Negative
1353674732298674178,Stock Titan,Negative
1353670969932578816,Gordon Gekko,Positive
1353670149241524224,Investor News,Positive
1353670085190139904,Stocks tweets,Positive
1353669340336320512,Breaking News,Positive
1353665568767926273,Soumyajyoti Biswas,Negative
1353663982821908480,pharmaphorum,Negative
1353663947510067201,Shifting Wealth,Negative
1353663446005518338,dough,Negative
1353662941426561024,Shifting Wealth,Negative
1353655238461251584,FinanzLinksRatings,Negative
1353655110618943488,FinanzLinksRatings,Negative
1353642661132050432,PHARMABOX.IN,Negative
1353627828290375680,LifeProNow-Pharma-Research and News,Negative
1353624835193249792,Josekun,Negative
1353624833263853568,Josekun,Negative
1353622517492101120,Jan Ehses,Negative
1353621966612287488,Jan Ehses,Negative
1353620686456188928,Kevin Jacobs 🇧🇪 🇵🇱 🇮🇹 🇪🇺,Negative
1353618566906523648,Golden Casino News,Negative
1353618563358195714,Golden Casino News,Negative
1353618367190605824,Kevin Jacobs 🇧🇪 🇵🇱 🇮🇹 🇪🇺,Negative
1353615905092218882,Sharecast.com,Negative
1353613727287930880,EIN Presswire: Pharmaceutical Newswire,Negative
1353608619133181952,Value's Vector,Negative
1353605487414149120,Devdiscourse,Negative
1353603371576537088,Devdiscourse,Negative
1353602178171211777,Mathan,Negative
1353601006378971138,Cision News,Negative
1353601002541203456,Cision News,Negative
1353600269460926464,Company News HQ,Negative
1353599509071183872,Cision News,Negative
1353599366431268867,Cision News,Negative
1353599249263579136,LiveSquawk,Negative
1353593704649347072,TYR Kinase papers,Negative
1351871111802155009,Paperbirds_Hematology,Negative
1351870476574810114,Paperbirds_Hematology,Negative
1351038803448889352,Health Radio Online,Negative
1350884999151693824,Medivizor,Negative
1350472994313756673,Aaron Goodman - “Papa Heme”,Negative
1349838759966216193,CADTH,Negative
1349688957332811776,Toby Eyre,Positive
1348968100910260225,Lymphoma Papers,Negative
1348948980126814208,Paperbirds_Hematology,Negative
1348738438787379200,Medivizor,Negative
1348520236249710596,Top News Corner,Negative
1347474172008665089,Pharmazeutische Zeitung,Negative
1347472919660781575,RS6,Negative
1347180984190595083,Amar Bhandari,Negative
1347070826491817984,Industry News Engine,Negative
1345837516667154434,Targeted Oncology,Negative
1345374991446134786,Medicina e Informazione,Negative
1344870978896101376,CALQUENCE® (acalabrutinib),Negative
1344870978480865281,CALQUENCE® (acalabrutinib),Negative
1344870977759371266,CALQUENCE® (acalabrutinib),Negative
1344870977100910593,CALQUENCE® (acalabrutinib),Negative
1344870976811487234,CALQUENCE® (acalabrutinib),Negative
1344870975888879623,CALQUENCE® (acalabrutinib),Negative
1344870975809101825,CALQUENCE® (acalabrutinib),Negative
1344870975049908227,CALQUENCE® (acalabrutinib),Negative
1344870974571819009,CALQUENCE® (acalabrutinib),Negative
1344870972692836352,CALQUENCE® (acalabrutinib),Negative
1344870972063531008,CALQUENCE® (acalabrutinib),Negative
1344870969492578304,CALQUENCE® (acalabrutinib),Negative
1344340117452894210,"Joseph Cioccio, DO",Negative
1344068316353228809,CureHuntr,Negative
1343991464515301385,VJHemOnc,Negative
1343959049902182400,TrialBulletin,Negative
1343937359734304768,OncLive SOSS,Negative
1343180063504740353,Targeted Oncology,Negative
1342866355868086272,Medivizor,Negative
1342203098220130304,DRUGDOCS,Negative
1342151826670571522,Oncology Nursing News,Negative
1340952146997460994,EmatoInfo,Negative
1340823055371816960,Oncology Nursing News,Negative
1340738181398982657,Medivizor,Negative
1339918478950756355,OncLive.com,Negative
1339578709846732800,pharmanewsintel,Negative
1339432645084684289,JPubb 日本企業 リリース 医薬品,Negative
1339400282984214528,PR TIMESビジネス,Negative
1339392438775894018,PR TIMESニュース,Negative
1339390406853881857,WMR Tokyo - スタートアップ,Negative
1339337448543883267,Ashleigh Walls,Negative
1339280070196621312,bargainbriana,Negative
1339275381170348032,April Golightly,Negative
1339165345291112449,dough,Negative
1339017286653448192,jorge,Negative
1338970852617019393,iSanidad,Negative
1338857609542201344,iSanidad,Negative
1338710401790472194,OncLive.com,Negative
1338662943920152578,Trip Database,Negative
1338620216897544192,Radyo La Verdad 1350,Negative
1338531756996255753,CURE Magazine,Negative
1338498441358405634,Radyo La Verdad 1350,Negative
1338438148410392578,Ronald M. Chavin,Negative
1338432117890420737,UNTV News and Rescue,Negative
1338395721079300103,DZBB Super Radyo,Negative
1338371914142724096,Radyo Agila DZEC 1062 Khz,Negative
1338368964011782146,CNN Philippines,Negative
1338344742917009410,DZBB Super Radyo,Negative
1337659087585239042,Medivizor,Negative
1337449313648205825,This Messy Season Family Blog,Negative
1337235679139557387,印度孟加拉抗癌药,Negative
1337155558802038784,Cook Eat Go,Negative
1337102287299350531,IM Médico,Negative
1337063133286948866,William V. Sweeney,Negative
1337041689567846400,Caryn Bailey,Negative
1336828570585468930,Christi B,Negative
1336828362405392387,Trip Database,Negative
1336799465726996486,Kami Allen,Negative
1336785315873230849,CALQUENCE® (acalabrutinib),Negative
1336785315864879106,CALQUENCE® (acalabrutinib),Negative
1336785315827130369,CALQUENCE® (acalabrutinib),Negative
1336785315814522882,CALQUENCE® (acalabrutinib),Negative
1336785315793575936,CALQUENCE® (acalabrutinib),Negative
1336785192141393923,CALQUENCE® (acalabrutinib),Negative
1336785192040747009,CALQUENCE® (acalabrutinib),Negative
1336785191663251459,CALQUENCE® (acalabrutinib),Negative
1336785191654871041,CALQUENCE® (acalabrutinib),Negative
1336785191554097152,CALQUENCE® (acalabrutinib),Negative
1336785191163973632,CALQUENCE® (acalabrutinib),Negative
1336785190929264644,CALQUENCE® (acalabrutinib),Negative
1336785190753095682,CALQUENCE® (acalabrutinib),Negative
1336785190753079296,CALQUENCE® (acalabrutinib),Negative
1336785190719393793,CALQUENCE® (acalabrutinib),Negative
1336785190631436288,CALQUENCE® (acalabrutinib),Negative
1336785190404956160,CALQUENCE® (acalabrutinib),Negative
1336785190316699649,CALQUENCE® (acalabrutinib),Negative
1336785190211895297,CALQUENCE® (acalabrutinib),Negative
1336785190174199815,CALQUENCE® (acalabrutinib),Negative
1336785189964455936,CALQUENCE® (acalabrutinib),Negative
1336749685801775106,Coralie Seright (Lovebugs and Postcards),Negative
1336740572594376704,Elizabeth hurt,Negative
1336729956869615616,EmatoInfo,Negative
1336713314227851264,Benlazar S.M Aminé,Negative
1336711180967178243,Benlazar S.M Aminé,Negative
1336710567118184449,Benlazar S.M Aminé,Negative
1336709163326574596,Benlazar S.M Aminé,Negative
1336705401933492226,Benlazar S.M Aminé,Negative
1336666415848333313,Paperbirds_Hematology,Negative
1336658622110027776,Pepvax Inc,Negative
1336641406111191042,pharmaphorum,Negative
1336596452152385536,NICE,Negative
1336546474042200065,mednetnews,Negative
1336503842259800064,Bionest Partners,Negative
1336439052833337347,Lisa O'Driscoll,Negative
1336412717322825728,Tamara Bowman,Negative
1336400417656164352,David Ledger,Positive
1336398436179054594,Benlazar S.M Aminé,Negative
1336359899522080768,Plexus Ventures,Positive
1336346700202594304,Pharmafocus,Positive
1336340134833180677,Cpl Life Sciences,Negative
1336325313760903174,Targeted Oncology,Negative
1336321127652605954,Pharma News,Negative
1336321119490617345,Pharma News,Negative
1336316195147034624,Jon Angelo,Positive
1336306905598332930,NwokeAgulu,Negative
1336305870800642050,Prescient Healthcare Group,Negative
1336300128064430082,OncLive.com,Negative
1336297360167641088,Paperbirds_Hematology,Negative
1336281796418416642,Smart Clinical Pharmacology,Negative
1336254493747507200,PHARMABOX.IN,Positive
1336251799028817920,PharmaTimes,Positive
1336246591573741568,1stOncology,Negative
1336246534740930560,1stOncology,Negative
1336173663893266432,CALQUENCE® (acalabrutinib),Negative
1336173663691956227,CALQUENCE® (acalabrutinib),Negative
1336173663423524864,CALQUENCE® (acalabrutinib),Negative
1336173662106423296,CALQUENCE® (acalabrutinib),Negative
1336173660336390145,CALQUENCE® (acalabrutinib),Negative
1336139674578870272,vshariharakrishnan,Negative
1336122854279143425,"Joseph Cioccio, DO",Negative
1336062988978151425,PHARMABOX.IN,Negative
1336052359223447552,Toby Eyre,Negative
1336050170816040964,****,Negative
1336036395903815691,Investor News,Negative
1336031533103198211,BrainSights iOS App,Negative
1336023653239181314,Targeted Oncology,Negative
1336005330564747265,Pharma Top News,Negative
1335992731844296706,David Ledger,Negative
1335992597005873154,SeattleCancerCareAlliance,Negative
1335991432436322310,IMPharma News,Negative
1335981212104445953,Biotech & Tech Stock Focus,Negative
1335980641062592517,Crwe World,Negative
1335977403903045641,Company News HQ,Negative
1335976287664545796,Anne Sweden,Negative
1335975588473884674,LifeProNow-Pharma-Research and News,Negative
1335972953180221443,Pharmacutical Daily,Negative
1335972786842578944,The British Journal of Cardiology,Negative
1335969803404775429,Devdiscourse,Negative
1335967327200874496,"OTC Dynamics, Inc.",Negative
1335967035210153989,Stock Titan,Negative
1335966935134195717,Investor News,Negative
1335966873796685824,Keeping Life Sane,Negative
1335965217101111296,"OTC Dynamics, Inc.",Negative
1335964129224495104,Shifting Wealth,Negative
1335964040816836610,Cision News,Negative
1335963626889416704,AstraZenecaUS,Negative
1335963556852875264,Stock Titan,Negative
1335958846553001986,Biotech & Tech Stock Focus,Negative
1335957750744903680,Dr. Carsten Wenzel,Negative
1335940206223106048,BiopharmaAsia,Negative
1335933768528490496,Prescient Healthcare Group,Negative
1335917885143863298,CHItraders,Negative
1335914582188187648,WICҚƸ︎Đ✧ȘPĿIҬŚ,Negative
1335913278371926018,Gordon Gekko,Negative
1335913076416270336,Investor News,Negative
1335912165979561991,Breaking News,Negative
1335904449622061056,PharmaTimes,Negative
1335901590432215043,PHARMABOX.IN,Negative
1335894459070828544,PharmaShots - Incisive news in 3 shots,Negative
1335885262078025728,Medicircle.in,Negative
1335866653892960261,1stOncology,Negative
1335811398467612672,CALQUENCE® (acalabrutinib),Negative
1335811276476387329,CALQUENCE® (acalabrutinib),Negative
1335811275561918464,CALQUENCE® (acalabrutinib),Negative
1335811274802929664,CALQUENCE® (acalabrutinib),Negative
1335811274429620224,CALQUENCE® (acalabrutinib),Negative
1335811274177794048,CALQUENCE® (acalabrutinib),Negative
1335811273045528576,CALQUENCE® (acalabrutinib),Negative
1335811272881758208,CALQUENCE® (acalabrutinib),Negative
1335811272479223808,CALQUENCE® (acalabrutinib),Negative
1335811272475111425,CALQUENCE® (acalabrutinib),Negative
1335811272453935106,CALQUENCE® (acalabrutinib),Negative
1335744469673525249,cafepharma,Negative
1335718758451646467,Shifting Wealth,Negative
1335718044153257984,analyst land news,Negative
1335705645006327815,Enosi Life Sciences,Negative
1335701979318935552,ExBulletin,Negative
1335700302406664192,Dr Timos Papagatsias,Negative
1335698575792148481,Wall St. Justin Bieber think.trade💭,Negative
1335692498002354178,PharmaCrowd,Negative
1335692400354877440,FintechZoom,Negative
1335688725980979204,Continental Clinical,Negative
1335681794402881537,NewExpressNews,Negative
1335679918525526018,PHARMABOX.IN,Negative
1335679662958071809,前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,Negative
1335674215983407104,Company News HQ,Negative
1335669146030313473,BrainSights iOS App,Negative
1335657756842467329,Anthony Mato,Positive
1335628087342600193,Pharmacutical Daily,Negative
1335615746278232068,Stock Market News,Negative
1335606574849482754,Hottest Stocks Now,Negative
1335606445920972800,"OTC Dynamics, Inc.",Negative
1335604254136913921,Corporate News,Negative
1335603847465603074,IMPharma News,Negative
1335602524351508481,Investor News,Negative
1335601900037709831,Crwe World,Negative
1335601278748004352,Latest News from Business Wire,Negative
1335600906985992193,AstraZenecaUS,Negative
1335600771358806017,Cision News,Negative
1335600347063046146,Stock Titan,Negative
1335537348180930560,Trip Database,Negative
1335448884911484930,CALQUENCE® (acalabrutinib),Negative
1335279810768216064,Ingrid Glimelius,Negative
1335253934399754240,"Maria Badillo, MSN RN OCN CCRP",Negative
1335226436974735362,Toby Eyre,Negative
1335217837997219840,CALQUENCE® (acalabrutinib),Negative
1335179944679403521,Мэрсэдэ́с Bouter LL.M.,Negative
1335086499365179393,CALQUENCE® (acalabrutinib),Negative
1335086498647998464,CALQUENCE® (acalabrutinib),Negative
1335086498454986752,CALQUENCE® (acalabrutinib),Negative
1335086497226252293,CALQUENCE® (acalabrutinib),Negative
1335080025473740801,Mostly Harmless,Negative
1335037794276823041,BIOCIENCIA,Negative
1335026099735191558,Medscape ES,Negative
1334943309266038787,"Brand Institute, Inc",Negative
1334935950246502400,Dr Pablo Marcelo Lombardo,Negative
1334878110622343172,Rebecca Miller,Negative
1334669772244447233,LaVonne Cladoosby Long,Negative
1334613688595206148,Kelly Tomlinson,Negative
1334512725419053058,CALQUENCE® (acalabrutinib),Negative
1334512724210958336,CALQUENCE® (acalabrutinib),Negative
1334512721723736064,CALQUENCE® (acalabrutinib),Negative
1334512721685929984,CALQUENCE® (acalabrutinib),Negative
1334512720750796802,CALQUENCE® (acalabrutinib),Negative
1334512719311953920,CALQUENCE® (acalabrutinib),Negative
1334512717646839808,CALQUENCE® (acalabrutinib),Negative
1334512716258676742,CALQUENCE® (acalabrutinib),Negative
1334379212292169728,Mommy's Playbook,Negative
1334290404615839746,knowmedge,Negative
1334269937716666368,IceCreamStickyFinger,Negative
1334265275949072386,Brittany,Negative
1334165581549985792,Carrie,Negative
1334031007691931648,Christian Yosores,Negative
1334028814821720064,Inquirer,Negative
1334028554892312578,jovic yee,Negative
1333971511137415169,Maria,Negative
1333833603294216192,Heidi Bee,Negative
1333814208744460291,Catherine Lewis,Negative
1333744538960084994,@COVID_Evidence,Negative
1333715269156483073,Medivizor,Negative
1333609405326176257,Medivizor,Negative
1333533109212618754,Kathy Hodson,Negative
1333520512853700609,Home Jobs by MOM,Negative
1333511555409797120,Angie Agerter,Negative
1333497315764678656,Ana,Negative
1333440658137235456,CALQUENCE® (acalabrutinib),Negative
1333440656010850305,CALQUENCE® (acalabrutinib),Negative
1333440655159418881,CALQUENCE® (acalabrutinib),Negative
1333440654777704448,CALQUENCE® (acalabrutinib),Negative
1333421840182751234,Lindsey G.,Negative
1333359343291535361,Gelbe Liste,Negative
1333233071101865988,icefairy,Negative
1333177579314896896,Imperfect Women,Negative
1332786101409505280,Candy Washington,Negative
1332723331825606661,Lauren Beth,Negative
1332323142417702913,Lynne Mac Lean,Negative
1332288686277468167,Paul Wright,Negative
1332259013472497665,Medivizor,Negative
1332037025583820801,TF 2,Negative
1331792396162621441,Leave The Cannoli,Negative
1331751113033478144,Mafiusa,Negative
1331676594679779335,Emily Reviews,Negative
1331631905935142914,Kelly & Alex,Negative
1331600402513588225,Deliciously Savvy,Negative
1331599941429506050,Deliciously Savvy,Negative
1331521877391523842,ティーズ,Negative
1331515468461576193,Haute Autorité de santé,Negative
1331397095962578944,Cleverly Changing (She/her),Negative
1331352643202134020,ELMENS,Negative
1331314457721626625,Alexandria,Negative
1331308051060625410,Jaclyn,Negative
1331306983312420865,Stephanie BeautyBrite Ⓥ,Negative
1331305601104629761,Stephanie BeautyBrite Ⓥ,Negative
1331301655015526400,Jennifer Soltys,Negative
1331301556369588225,Vanessa Diaz,Negative
1331301265968685065,Colleen Padilla,Negative
1331300361701822466,Jenn p,Negative
1331300339920883716,Jays SweetNSour Life,Negative
1331236402537914368,FancyFinancy,Negative
1331228704538849282,FancyFinancy,Negative
1331104513638490113,Zazoom Social News,Negative
1331037100809064448,Kimberly Kong,Negative
1331019187238576129,a watcher,Negative
1330979862153203718,Toby Eyre,Negative
1330975416396427267,"Amber Koehler, PA-C",Positive
1330876630684880903,Mariah Moon,Negative
1330737910111481858,OncLive.com,Positive
1330492185842769920,Erica Valentin,Negative
1330425900664549377,Lymphoma Papers,Negative
1330411067680419840,Trip Database,Negative
1330345299936751617,OncLive.com,Negative
1330282349779705862,PracticeUpdate,Negative
1330224551268134912,OncLive.com,Negative
1330153398340087808,Amy Smith,Negative
1330104700537024513,Paperbirds_Hematology,Negative
1329974037821308928,MomGlenz,Negative
1329862080653094913,Da Vinci - Also follow @OutdoorsyBW,Negative
1329757371674013696,Gelbe Liste,Negative
1329738783898537985,JPubb 日本企業 リリース 医薬品,Negative
1329710517728862208,NEWSRELEA.SE,Negative
1329645262969606146,PR TIMESビジネス,Negative
1329641266913669120,コロナ vs. AI 最新テクノロジーで感染症に挑む【書籍】,Negative
1329637376147111937,PR TIMESニュース,Negative
1329636038340390912,WMR Tokyo - スタートアップ,Negative
1329611461082144769,Colin Cesvette,Negative
1329564625549938689,What's up dearie?,Negative
1329557569321492480,BiotechBioPharma,Negative
1329545054101364737,CADTH,Negative
1329537486704566274,BiotechBioPharma,Negative
1329536787233071105,melissa weintraub,Negative
1329530040233684992,HEATHER | Pink Ninja Blogger,Negative
1329502984095420416,Garf,Negative
1329486917130448898,Your Helpful Wendy,Negative
1329456913034178562,Financial Carnivores,Negative
1329451877344403468,Financial Carnivores,Negative
1329438717929467907,My Life is a Journey🇨🇴😷,Negative
1329370635064238080,Quant Data,Negative
1329321009493778437,Swedish Biotech,Negative
1329320381207887873,いつも悩んでる人,Negative
1329310955877101568,Swedish Biotech,Negative
1329229171818696710,CURE Magazine,Negative
1329217531958202370,Wrapped Up N U,Negative
1329147290561474560,pamelamaynard,Negative
1329141382875934726,SensiblySara,Negative
1329095631638470656,The Frugal Navy Wife,Negative
1329093771456376833,Christine | The Growing Creatives,Negative
1329092456315576320,OncLive.com,Negative
1329081154863960069,DCapdepon,Negative
1328956741019701250,Medical Tribune《公式》,Negative
1328859141402669058,The Zamp Camp,Negative
1328843536935116801,Lori Felix,Negative
1328826492915228676,Michele Nadeem-Baker,Negative
1328820468330221570,niecyisms by CLC Studios,Negative
1328761967360749570,Liz Cleland,Negative
1328760696100700160,TheYumYumFoodie,Negative
1328733949548396546,Susie's Reviews,Negative
1328712966829641733,Amanda Taylor,Negative
1328706715815178240,Anne-Marie @ This Mama Cooks! On a Diet,Negative
1328682864066646016,Shelly Belly,Negative
1328675636471353344,MissingLynxx,Negative
1328656271017455619,CISMeF Quoi de neuf,Negative
1328641633668239360,Krystal 👩🏻‍💻,Negative
1328633229352562689,BiopharmaAsia,Negative
1328620150925316098,薬剤師ニュース配信くん,Negative
1328581329395519488,Oncology News Australia,Positive
1328568561942597636,NEWSRELEA.SE,Negative
1328561017438097409,JPubb 日本企業 リリース 医薬品,Negative
1328546057156919298,a watcher,Negative
1328527927848275970,PR TIMESビジネス,Negative
1328520513149313025,Kaila Yu,Negative
1328520032691781632,PR TIMESニュース,Negative
1328519661407899650,WMR Tokyo - スタートアップ,Negative
1328513364499296258,Olivia Douglass,Negative
1328504026426613762,Susie's Reviews,Negative
1328498589941846016,Trendy Cyndie Reviewz & Newz,Negative
1328497112179478528,Momma Lew - Food and Fun by Reesa Lewandowski,Negative
1328497069452124163,Jessica,Negative
1328495529139994624,Tara Pittman,Negative
1328493448312320007,Trip Database,Negative
1328276030021382144,Vikesh Gudka,Negative
1328099205748035590,Evaluate Japan,Negative
1328022452287496194,CarnivoresHealth,Negative
1328007363870281729,CarnivoresHealth,Negative
1327778426674176000,OncLive.com,Negative
1327764702043262978,ECAM Norway,Negative
1327735262055706627,Carlo Franzini,Negative
1327689037033910274,CURE Magazine,Negative
1327522521567006723,Kaushik A.Sejpal,Negative
1327511022899486722,Official Page of MonkeyViral.com,Negative
1327397089345724417,PILOTforPULMONARY,Negative
1327340460914905088,EL GLOBAL,Negative
1327333506389864450,Kari Tikkinen,Negative
1327314024292298752,Pharma Top News,Negative
1327272979701649409,FintechZoom,Negative
1327271926197325824,Ester Hernández,Negative
1327271681967198209,ecancer en español,Positive
1327232505011986435,Journal of the @NCCN,Negative
1327227288916811779,European Pharmaceutical Review,Negative
1327224011676405762,Carlo Centemeri,Negative
1327216274712133632,Paperbirds_Hematology,Negative
1327213408538800129,Salvador S,Negative
1327210359313231872,Sortiraparis,Negative
1327209741563682824,Laurent Pradal,Negative
1327209479855689731,cafepharma,Negative
1327199285780201473,Pharmaceutical,Negative
1327198780089839616,Serena Tinari,Negative
1327192023581945856,Pharma Prime Time,Negative
1327183177518092294,Miguel Angel Grullon C.,Negative
1327171180466372609,Sosyal Medya,Negative
1327167956950933510,@investigando,Negative
1327144384689811460,OncLive SOSS,Negative
1327126811302629382,BioCalifornia,Negative
1327109287756361730,Helen Ong,Negative
1327104925633921024,Lyke Lyfe,Negative
1327083120584081408,Takehiko Yoshino,Negative
1327078369196969984,Brainstormer 🇳🇱🇳🇱,Negative
1327077126072397824,Brainstormer 🇳🇱🇳🇱,Negative
1327068717356900357,OncLive.com,Negative
1327063393833013249,Pharmaceutical Market Europe,Negative
1327061110936186882,PHARMABOX.IN,Negative
1327044659558961152,Christina H,Negative
1327004492928348165,FiercePharma,Negative
1326999921824845825,Nikita,Negative
1326993391544979456,Biotech & Tech Stock Focus,Negative
1326992961947758616,MAISA,Positive
1326989166954110980,R Mandy Alcuria,Negative
1326986574211346433,Ronald M. Chavin,Negative
1326985634771251201,Continental Clinical,Negative
1326985618216251392,Endpoints News,Negative
1326981850569453568,WebWire,Negative
1326980782007734273,Infectotuits,Negative
1326980529825189888,ZdravMedInfo,Negative
1326977785890562049,Koronavirüs Haber ☣️,Negative
1326974691660210176,maybeawriter,Negative
1326968616156360706,Siber Gazete,Negative
1326968182721089537,Kevin Paul Oge,Negative
1326950799587487744,Dr Timos Papagatsias,Negative
1326949734599315457,NewExpressNews,Negative
1326945265434046465,Briefing.com,Negative
1326943163018334210,"Synergy Healthcare, LLC",Negative
1326941957172719617,Fuerza/Fuerza,Negative
1326933235352350721,Redacción Médica,Negative
1326929655643901953,Ben Fidler,Negative
1326926445591973888,Lu Chen #nobias,Negative
1326923472333836288,PHARMABOX.IN,Negative
1326920700897099776,前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,Negative
1326919870915751936,Nathan Vardi,Negative
1326910137228013568,HABER3.com 🇹🇷,Negative
1326909996236484608,Endpoints News,Negative
1326906969182121990,****,Negative
1326904868821491717,ABC Gazetesi,Negative
1326899568013873153,Dr Timos Papagatsias,Negative
